year,issue_mass_cents,issue_mass_bn,bridge_end,bridge_days,bridge_complete_jan_feb,cycle_opening_pmr_cents,cycle_dec31_pmr_cents,cycle_dec31_pct,cycle_terminal_pmr_cents,cycle_terminal_pct,cycle_terminal_bridge_increment_cents,path_opening_pmr_cents,path_dec31_pmr_cents,path_dec31_pct,path_terminal_pmr_cents,path_terminal_pct,path_terminal_conservative_cents,path_terminal_liberal_cents,path_terminal_bridge_increment_cents,terminal_advantage_cents,terminal_advantage_pp,cycle_main_operations,cycle_terminal_bridge_operations,path_main_operations,path_terminal_bridge_operations,cycle_main_runtime_seconds,path_main_runtime_seconds,cycle_main_initially_feasible_cycles,cycle_main_inventory,bridge_new_records,bridge_new_mass_cents,cycle_bridge_new_consumed_mass_cents,cycle_bridge_residual_carried_records,cycle_bridge_residual_carried_mass_cents,cycle_bridge_fully_consumed_records,path_bridge_new_consumed_mass_cents,path_bridge_residual_carried_records,path_bridge_residual_carried_mass_cents,path_bridge_fully_consumed_records
2012,6889196958,0.06889196958,2013-02-28,59,True,0,91695630,1.3310060745689598,92365366,1.3407276140180866,669736,0,62745345,0.9107787944302811,62745345,0.9107787944302811,62745345,62745345,0,-29620021,-0.4299488195878054,12,2,18,0,0.0009259880000627163,0.001754789999949935,7,"{""2"": 4, ""3"": 2, ""4"": 1}",82,196188484,669736,80,195518748,2,0,82,196188484,0
2013,11861722858,0.11861722858,2014-02-28,59,True,669736,4495372,0.03789813717463605,4495372,0.03789813717463605,0,0,3863336,0.03256977124022433,4313336,0.036363486583156183,3863336,4763336,450000,-182036,-0.0015346505914798703,8,2,9,3,0.00035636000006888935,0.001124884000091697,3,"{""2"": 4}",84,2597518812,367720,80,2597151092,4,1267720,79,2596251092,5
2014,19674580431,0.19674580431,2015-02-28,59,True,367720,43590996,0.22155997762125798,44370996,0.22552448401942748,780000,817720,155143414,0.7885475095344361,155923414,0.7925120159326055,155473414,156373414,780000,111552418,0.5669875319131781,16,3,28,3,0.0005882149999933972,0.002543344000059733,5,"{""2"": 7, ""3"": 1}",140,5338174890,15843664,135,5322331226,5,15843664,135,5322331226,5
2015,53801770548,0.53801770548,2016-02-29,60,True,15843664,121058892,0.2250091228726304,136501273,0.25371148869202825,15442381,15843664,174834227,0.3249599877833374,190961645,0.3549356146739277,190276608,191646682,16127418,54460372,0.10122412598189945,37,30,46,35,0.0013895170000068902,0.0038597919999574515,8,"{""2"": 12}",189,8261593653,16991127,156,8244602526,33,18361201,151,8243232452,38
2016,67936749986,0.67936749986,2017-02-28,59,True,16991127,813237981,1.1970516416631458,816685853,1.2021267622726988,3447872,17676164,883560006,1.3005626648052473,1776586683/2,1.3075299328905994,886322841,890263842,9466671/2,143214977/2,0.10540317061790039,83,26,122,47,0.003217496000047504,0.010210509999978967,18,"{""2"": 20}",558,3456542641,571979080,504,2884563561,54,769049315,472,2687493326,86
2017,25727988366,0.25727988366,2018-02-28,59,True,571979080,977878290,3.8008346244912166,981018082,3.813038423542017,3139792,1225028395/2,2174814613/2,4.226553942075893,1117299006,4.342737528117553,1088265215,1221511442,59783399/2,136280924,0.5296991045755357,104,33,218,69,0.003367760000060116,0.016996234000089316,23,"{""2"": 26}",1000,5704944866,138418582,813,5566526284,187,607654625,620,5097290241,380
2018,46030007198,0.46030007198,2019-02-28,59,True,138418582,1520553678,3.3033965679372472,1589368434,3.4528963403443873,68814756,734053309/2,4517411217/2,4.907028579822035,2339445137,5.082434871097845,2203441151,2405943135,161479057/2,750076703,1.6295385307534578,413,168,629,261,0.018375837000007778,0.06493216500007293,82,"{""2"": 106, ""3"": 8, ""4"": 5}",2184,13064200259,555767628,1782,12508432631,402,867243604,1641,12196956655,543
2019,442369922745,4.42369922745,2020-02-29,60,True,555767628,49155921760,11.111949351117046,62551144661,14.14000849625055,13395222901,1397194075/2,120982281015/2,13.674333944798853,70151738884,15.858161976450264,65258245591,77844904504,19321196753/2,7600594223,1.718153480199713,2521,2832,5200,5219,0.15526680899995426,0.8974929030000567,2105,"{""2"": 709, ""3"": 134, ""4"": 253, ""5"": 542, ""6"": 1271, ""7"": 2840, ""8"": 6127}",61091,236427093343,90790948996,51113,145636144347,9978,136519843015,46435,99907250328,14656
2020,1402047757074,14.02047757074,2021-02-28,59,True,90790948996,584095778113,41.66019132843072,599942983451,42.79048131021225,15847205338,207354542839/2,1309788165553/2,46.70982707060061,669584003340,47.75757458771495,657942224318,679065622350,29379841127/2,69641019889,4.9670932775026975,17904,2623,80383,4067,3.040193911000074,10.848403708000205,28702,"{""2"": 2381, ""3"": 455, ""4"": 1223, ""5"": 4465, ""6"": 19467, ""7"": 86292, ""8"": 383017}",22779,213174382264,85353797609,14373,127820584655,8406,120024568209,11876,93149814055,10903
2021,1515316018161,15.15316018161,2022-02-28,59,True,85353797609,548857857614,36.220686050695775,556575373902,36.72998682990657,7717516288,187413933001/2,1300826917493/2,42.92262808228261,1315595535985/2,43.40993958414092,650999829628,664193496379,7384309246,202444788181/2,6.67995275423435,13057,2251,21573,3412,1.6399247539998214,2.2102207160000944,9691,"{""2"": 2088, ""3"": 356, ""4"": 810, ""5"": 2210, ""6"": 7297, ""7"": 25640, ""8"": 93500}",12958,606076312597,302868251101,5056,303208061496,7902,451509311851,3228,154567000746,9730
