year,bridge_end,bridge_new_records,bridge_new_mass_cents,cycle_bridge_new_consumed_mass_cents,cycle_bridge_residual_carried_records,cycle_bridge_residual_carried_mass_cents,cycle_bridge_fully_consumed_records,path_bridge_new_consumed_mass_cents,path_bridge_residual_carried_records,path_bridge_residual_carried_mass_cents,path_bridge_fully_consumed_records,reintroduced_at_full_face_value
2012,2013-02-28,82,196188484,669736,80,195518748,2,0,82,196188484,0,False
2013,2014-02-28,84,2597518812,367720,80,2597151092,4,1267720,79,2596251092,5,False
2014,2015-02-28,140,5338174890,15843664,135,5322331226,5,15843664,135,5322331226,5,False
2015,2016-02-29,189,8261593653,16991127,156,8244602526,33,18361201,151,8243232452,38,False
2016,2017-02-28,558,3456542641,571979080,504,2884563561,54,769049315,472,2687493326,86,False
2017,2018-02-28,1000,5704944866,138418582,813,5566526284,187,607654625,620,5097290241,380,False
2018,2019-02-28,2184,13064200259,555767628,1782,12508432631,402,867243604,1641,12196956655,543,False
2019,2020-02-29,61091,236427093343,90790948996,51113,145636144347,9978,136519843015,46435,99907250328,14656,False
2020,2021-02-28,22779,213174382264,85353797609,14373,127820584655,8406,120024568209,11876,93149814055,10903,False
2021,2022-02-28,12958,606076312597,302868251101,5056,303208061496,7902,451509311851,3228,154567000746,9730,False
2022,2023-02-28,14265,501139186665,150251654236,6190,350887532429,8075,243881662704,4451,257257523961,9814,False
2023,2024-02-08,1240,63011692269,32251209012,579,30760483257,661,34285560449,499,28726131820,741,False
