date,cycle_cohort_pmr_cents,path_cohort_pmr_cents,advantage_cents
2013-01-01,0,0,0
2013-01-02,0,0,0
2013-01-03,0,0,0
2013-01-04,0,0,0
2013-01-05,0,0,0
2013-01-06,0,0,0
2013-01-07,0,0,0
2013-01-08,0,0,0
2013-01-09,0,0,0
2013-01-10,0,0,0
2013-01-11,0,0,0
2013-01-12,0,0,0
2013-01-13,0,0,0
2013-01-14,0,0,0
2013-01-15,0,0,0
2013-01-16,0,0,0
2013-01-17,0,0,0
2013-01-18,0,0,0
2013-01-19,0,0,0
2013-01-20,0,0,0
2013-01-21,0,0,0
2013-01-22,0,0,0
2013-01-23,0,0,0
2013-01-24,0,0,0
2013-01-25,0,0,0
2013-01-26,0,0,0
2013-01-27,0,0,0
2013-01-28,0,0,0
2013-01-29,0,0,0
2013-01-30,0,0,0
2013-01-31,462488,0,-462488
2013-02-01,462488,0,-462488
2013-02-02,462488,0,-462488
2013-02-03,462488,0,-462488
2013-02-04,462488,0,-462488
2013-02-05,462488,0,-462488
2013-02-06,462488,0,-462488
2013-02-07,462488,0,-462488
2013-02-08,462488,0,-462488
2013-02-09,462488,0,-462488
2013-02-10,462488,0,-462488
2013-02-11,462488,0,-462488
2013-02-12,462488,0,-462488
2013-02-13,462488,0,-462488
2013-02-14,462488,0,-462488
2013-02-15,462488,0,-462488
2013-02-16,462488,0,-462488
2013-02-17,462488,0,-462488
2013-02-18,462488,0,-462488
2013-02-19,462488,0,-462488
2013-02-20,462488,0,-462488
2013-02-21,462488,0,-462488
2013-02-22,462488,0,-462488
2013-02-23,462488,0,-462488
2013-02-24,462488,0,-462488
2013-02-25,462488,0,-462488
2013-02-26,462488,0,-462488
2013-02-27,462488,0,-462488
2013-02-28,669736,0,-669736
2013-03-01,669736,0,-669736
2013-03-02,669736,0,-669736
2013-03-03,669736,0,-669736
2013-03-04,669736,0,-669736
2013-03-05,669736,0,-669736
2013-03-06,669736,0,-669736
2013-03-07,669736,0,-669736
2013-03-08,669736,0,-669736
2013-03-09,669736,0,-669736
2013-03-10,669736,0,-669736
2013-03-11,669736,0,-669736
2013-03-12,669736,0,-669736
2013-03-13,669736,0,-669736
2013-03-14,669736,0,-669736
2013-03-15,669736,0,-669736
2013-03-16,669736,0,-669736
2013-03-17,669736,0,-669736
2013-03-18,669736,0,-669736
2013-03-19,669736,0,-669736
2013-03-20,669736,0,-669736
2013-03-21,669736,0,-669736
2013-03-22,669736,0,-669736
2013-03-23,669736,0,-669736
2013-03-24,669736,0,-669736
2013-03-25,669736,0,-669736
2013-03-26,669736,0,-669736
2013-03-27,669736,0,-669736
2013-03-28,669736,0,-669736
2013-03-29,669736,0,-669736
2013-03-30,669736,0,-669736
2013-03-31,669736,0,-669736
2013-04-01,669736,0,-669736
2013-04-02,669736,0,-669736
2013-04-03,669736,0,-669736
2013-04-04,669736,0,-669736
2013-04-05,669736,0,-669736
2013-04-06,669736,0,-669736
2013-04-07,669736,0,-669736
2013-04-08,669736,0,-669736
2013-04-09,669736,0,-669736
2013-04-10,669736,0,-669736
2013-04-11,669736,0,-669736
2013-04-12,669736,0,-669736
2013-04-13,669736,0,-669736
2013-04-14,669736,0,-669736
2013-04-15,669736,0,-669736
2013-04-16,669736,0,-669736
2013-04-17,669736,0,-669736
2013-04-18,669736,0,-669736
2013-04-19,669736,0,-669736
2013-04-20,669736,0,-669736
2013-04-21,669736,0,-669736
2013-04-22,669736,0,-669736
2013-04-23,669736,0,-669736
2013-04-24,669736,0,-669736
2013-04-25,669736,0,-669736
2013-04-26,669736,0,-669736
2013-04-27,669736,0,-669736
2013-04-28,669736,0,-669736
2013-04-29,669736,0,-669736
2013-04-30,669736,0,-669736
2013-05-01,669736,0,-669736
2013-05-02,669736,0,-669736
2013-05-03,669736,0,-669736
2013-05-04,669736,0,-669736
2013-05-05,669736,0,-669736
2013-05-06,669736,0,-669736
2013-05-07,669736,0,-669736
2013-05-08,669736,0,-669736
2013-05-09,669736,0,-669736
2013-05-10,669736,0,-669736
2013-05-11,669736,0,-669736
2013-05-12,669736,0,-669736
2013-05-13,669736,0,-669736
2013-05-14,669736,0,-669736
2013-05-15,669736,0,-669736
2013-05-16,669736,0,-669736
2013-05-17,669736,0,-669736
2013-05-18,669736,0,-669736
2013-05-19,669736,0,-669736
2013-05-20,669736,0,-669736
2013-05-21,669736,0,-669736
2013-05-22,669736,0,-669736
2013-05-23,669736,0,-669736
2013-05-24,669736,0,-669736
2013-05-25,669736,0,-669736
2013-05-26,669736,0,-669736
2013-05-27,669736,0,-669736
2013-05-28,669736,0,-669736
2013-05-29,669736,0,-669736
2013-05-30,669736,0,-669736
2013-05-31,669736,0,-669736
2013-06-01,669736,0,-669736
2013-06-02,669736,0,-669736
2013-06-03,669736,0,-669736
2013-06-04,669736,0,-669736
2013-06-05,669736,0,-669736
2013-06-06,669736,0,-669736
2013-06-07,669736,0,-669736
2013-06-08,669736,0,-669736
2013-06-09,669736,0,-669736
2013-06-10,669736,0,-669736
2013-06-11,669736,0,-669736
2013-06-12,669736,0,-669736
2013-06-13,669736,0,-669736
2013-06-14,669736,0,-669736
2013-06-15,669736,0,-669736
2013-06-16,669736,0,-669736
2013-06-17,669736,0,-669736
2013-06-18,669736,0,-669736
2013-06-19,669736,0,-669736
2013-06-20,669736,0,-669736
2013-06-21,669736,0,-669736
2013-06-22,669736,0,-669736
2013-06-23,669736,0,-669736
2013-06-24,669736,0,-669736
2013-06-25,669736,0,-669736
2013-06-26,669736,0,-669736
2013-06-27,669736,0,-669736
2013-06-28,669736,0,-669736
2013-06-29,669736,0,-669736
2013-06-30,669736,0,-669736
2013-07-01,669736,0,-669736
2013-07-02,669736,0,-669736
2013-07-03,669736,0,-669736
2013-07-04,669736,0,-669736
2013-07-05,669736,0,-669736
2013-07-06,669736,0,-669736
2013-07-07,669736,0,-669736
2013-07-08,669736,0,-669736
2013-07-09,669736,0,-669736
2013-07-10,669736,0,-669736
2013-07-11,669736,0,-669736
2013-07-12,669736,0,-669736
2013-07-13,669736,0,-669736
2013-07-14,669736,0,-669736
2013-07-15,669736,0,-669736
2013-07-16,669736,0,-669736
2013-07-17,669736,0,-669736
2013-07-18,669736,0,-669736
2013-07-19,669736,0,-669736
2013-07-20,669736,0,-669736
2013-07-21,669736,0,-669736
2013-07-22,669736,0,-669736
2013-07-23,669736,0,-669736
2013-07-24,669736,0,-669736
2013-07-25,669736,0,-669736
2013-07-26,669736,0,-669736
2013-07-27,669736,0,-669736
2013-07-28,669736,0,-669736
2013-07-29,669736,0,-669736
2013-07-30,669736,0,-669736
2013-07-31,669736,0,-669736
2013-08-01,669736,0,-669736
2013-08-02,850662,180926,-669736
2013-08-03,850662,180926,-669736
2013-08-04,850662,180926,-669736
2013-08-05,850662,180926,-669736
2013-08-06,850662,180926,-669736
2013-08-07,850662,180926,-669736
2013-08-08,850662,180926,-669736
2013-08-09,850662,180926,-669736
2013-08-10,850662,180926,-669736
2013-08-11,850662,180926,-669736
2013-08-12,850662,180926,-669736
2013-08-13,850662,180926,-669736
2013-08-14,850662,180926,-669736
2013-08-15,850662,180926,-669736
2013-08-16,850662,180926,-669736
2013-08-17,850662,180926,-669736
2013-08-18,850662,180926,-669736
2013-08-19,850662,180926,-669736
2013-08-20,850662,180926,-669736
2013-08-21,850662,180926,-669736
2013-08-22,850662,180926,-669736
2013-08-23,850662,180926,-669736
2013-08-24,850662,180926,-669736
2013-08-25,850662,180926,-669736
2013-08-26,850662,180926,-669736
2013-08-27,850662,180926,-669736
2013-08-28,850662,180926,-669736
2013-08-29,850662,180926,-669736
2013-08-30,850662,180926,-669736
2013-08-31,850662,180926,-669736
2013-09-01,850662,180926,-669736
2013-09-02,850662,180926,-669736
2013-09-03,850662,180926,-669736
2013-09-04,1032010,362274,-669736
2013-09-05,1032010,362274,-669736
2013-09-06,1032010,362274,-669736
2013-09-07,1032010,362274,-669736
2013-09-08,1032010,362274,-669736
2013-09-09,1032010,362274,-669736
2013-09-10,1032010,362274,-669736
2013-09-11,1032010,362274,-669736
2013-09-12,1032010,362274,-669736
2013-09-13,1032010,362274,-669736
2013-09-14,1032010,362274,-669736
2013-09-15,1032010,362274,-669736
2013-09-16,1032010,362274,-669736
2013-09-17,1032010,362274,-669736
2013-09-18,1032010,362274,-669736
2013-09-19,1032010,362274,-669736
2013-09-20,1032010,362274,-669736
2013-09-21,1032010,362274,-669736
2013-09-22,1032010,362274,-669736
2013-09-23,1032010,362274,-669736
2013-09-24,1032010,362274,-669736
2013-09-25,1032010,362274,-669736
2013-09-26,1032010,362274,-669736
2013-09-27,1032010,362274,-669736
2013-09-28,1032010,362274,-669736
2013-09-29,1032010,362274,-669736
2013-09-30,1032010,362274,-669736
2013-10-01,1032010,362274,-669736
2013-10-02,1214184,544448,-669736
2013-10-03,1214184,544448,-669736
2013-10-04,1214184,544448,-669736
2013-10-05,1214184,544448,-669736
2013-10-06,1214184,544448,-669736
2013-10-07,1214184,544448,-669736
2013-10-08,1214184,544448,-669736
2013-10-09,1214184,544448,-669736
2013-10-10,1214184,544448,-669736
2013-10-11,1214184,544448,-669736
2013-10-12,1214184,544448,-669736
2013-10-13,1214184,544448,-669736
2013-10-14,1214184,544448,-669736
2013-10-15,1214184,544448,-669736
2013-10-16,1214184,544448,-669736
2013-10-17,1214184,544448,-669736
2013-10-18,1214184,544448,-669736
2013-10-19,1214184,544448,-669736
2013-10-20,1214184,544448,-669736
2013-10-21,1214184,544448,-669736
2013-10-22,1214184,544448,-669736
2013-10-23,1214184,544448,-669736
2013-10-24,1214184,544448,-669736
2013-10-25,1214184,544448,-669736
2013-10-26,1214184,544448,-669736
2013-10-27,1214184,544448,-669736
2013-10-28,1214184,544448,-669736
2013-10-29,1214184,544448,-669736
2013-10-30,1214184,544448,-669736
2013-10-31,2768122,2098386,-669736
2013-11-01,2768122,2136086,-632036
2013-11-02,2768122,2136086,-632036
2013-11-03,2768122,2136086,-632036
2013-11-04,2768122,2136086,-632036
2013-11-05,2949462,2317426,-632036
2013-11-06,2949462,2317426,-632036
